k_requested,k_actual,k_avail,xfer_k_bytes,xfer_k_ms,rep,step_idx,wall_ms,gpu_ms,gpu_ratio_pct,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
256,256,24505,2097152,0.10514631867408752,1,35,2809.4920,2809.4446,99.9983,75,25,1,27
256,256,25181,2097152,0.10573677718639374,1,36,2150.2818,2150.2402,99.9981,52,19,1,27
256,256,25857,2097152,0.10417401790618896,1,37,2383.6407,2383.5967,99.9982,76,57,1,27
256,256,26533,2097152,0.10862015187740326,1,38,2901.4294,2901.3813,99.9983,99,38,1,27
256,256,27209,2097152,0.10644644498825073,1,39,2522.3284,2522.2839,99.9982,66,44,1,27
256,256,27885,2097152,0.10862015187740326,1,40,2609.6713,2609.6274,99.9983,59,37,1,27
256,256,28561,2097152,0.11706352233886719,1,41,2655.3824,2655.3369,99.9983,31,16,1,27
256,256,29237,2097152,0.10798312723636627,1,42,2643.7020,2643.6575,99.9983,12,5,1,27
256,256,29913,2097152,0.10925531387329102,1,43,3125.8517,3125.8040,99.9985,39,21,1,27
256,256,30589,2097152,0.11071749031543732,1,44,3534.3368,3534.2854,99.9985,63,44,1,27
256,256,31265,2097152,0.1059453934431076,1,45,2872.6106,2872.5654,99.9984,35,15,1,27
256,256,31941,2097152,0.10542571544647217,1,46,3117.0811,3117.0330,99.9985,78,44,1,27
256,256,32617,2097152,0.1111011952161789,1,47,3294.9017,3294.8516,99.9985,32,13,1,27
256,256,33293,2097152,0.10721012949943542,1,48,3168.4264,3168.3782,99.9985,51,17,1,27
256,256,33969,2097152,0.10717473924160004,1,49,3296.4175,3296.3694,99.9985,12,2,1,27
256,256,34645,2097152,0.10598823428153992,1,50,3403.5979,3403.5483,99.9985,12,2,1,27
256,256,35321,2097152,0.10969862341880798,1,51,3506.4624,3506.4128,99.9986,35,14,1,27
256,256,35997,2097152,0.10522827506065369,1,52,3479.9152,3479.8662,99.9986,6,0,1,27
256,256,36673,2097152,0.1050066202878952,1,53,3430.4380,3430.3892,99.9986,19,3,1,27
256,256,37349,2097152,0.10587088763713837,1,54,3950.6148,3950.5623,99.9987,6,0,1,27
256,256,38025,2097152,0.10426901280879974,1,55,3739.2756,3739.2231,99.9986,97,71,1,27
256,256,38701,2097152,0.10530278086662292,1,56,3524.2831,3524.2339,99.9986,53,25,1,27
256,256,39377,2097152,0.10850280523300171,1,57,4193.4101,4193.3564,99.9987,53,25,1,27
256,256,40053,2097152,0.10526366531848907,1,58,3736.1981,3736.1470,99.9986,82,49,1,27
256,256,40729,2097152,0.1065768301486969,1,59,4246.5442,4246.4897,99.9987,55,27,1,27
256,256,41405,2097152,0.10564178228378296,1,60,3716.9710,3716.9209,99.9987,93,60,1,27
256,256,42081,2097152,0.10528974235057831,1,61,3829.3862,3829.3350,99.9987,83,44,1,27
256,256,42757,2097152,0.12893415987491608,1,62,4038.1829,4038.1301,99.9987,66,26,1,27
256,256,43433,2097152,0.10648369789123535,1,63,3911.8741,3911.8208,99.9986,98,57,1,27
256,256,22477,2097152,0.10581128299236298,2,32,2214.5690,2214.5164,99.9976,36,7,1,29
256,256,23153,2097152,0.10586902499198914,2,33,2493.6854,2493.6438,99.9983,82,22,1,27
256,256,23829,2097152,0.10562688112258911,2,34,2207.3109,2207.2656,99.9980,87,19,1,27
256,256,24505,2097152,0.10615028440952301,2,35,2169.4306,2169.3914,99.9982,68,23,1,27
